word	meanings/0/0	meanings/0/1	meanings/1/0	meanings/1/1	meanings/2/0	meanings/2/1
nya	particle	if [conditional marker]
nyáa	particle	please [politeness marker]
nyanya	adjective	[diminuitive marker]	adverb	[diminuitive marker]
o	numeral	zero	adverb	false, no, never
ô	conjunction	but
õ	particle	not, un-, in-
òv	auxiliary verb	must	verb	to be obligated to, to need
öv	verb	to have, to own, to possess
ov	particle	question
ov üwów	adverb	when
ov öwo	pronoun	what, who
ov õwõ	adverb	where
ov ovowu	adverb	why
ovö	adjective	old, long [duration], late	adverb	long [duration], late
óvo	noun	moon, month
óvõ	noun	chest, breast
òvo	noun	intention
òvö	noun	cold	adjective	cold
övó	noun	rule, authority, reign, regime
övô	noun	sadness, sorrow	adjective	sad
övö	noun	tree
õvo	adjective	quick, fast, rapid
õvò	preposition	against, in opposition to, despite
õvò	particle	[imperative or determination]
õvŏ	noun	back, rear	adjective	back, rear
õvö	noun	lie, deception
ŏvo	noun	group, large amount, flock, swarm, herd	adjective	many, much	adverb	much, a lot, very, [in comparisons:] more
ŏvo ŏvo	adjective	most	adverb	most
ŏvo ovo	noun	speech, talk, story
ovo	noun	word
ovo ŏwu	noun	magic spell
ovõv	verb	to happen, to act, to do
òvov	verb	to want, to intend, to mean
ôvov	verb	to stand, to stand up, to help up, to erect
övóv	verb	to rule, to govern, to dominate, to oppress
övöv	verb	to hold, to carry
õvöv	verb	to lie, to deceive
òvöv	verb	to request, to order
òvöv subject ù person	verb	to request something from somebody
ôvöv	verb	to ask
ôvöv subject	verb	to ask about something
ôvöv person	verb	to ask somebody
ôvöv subject ù person	verb	to ask somebody about something
ovov	verb	to speak, to talk, to say, to answer
ovov subject	verb	to say something
ovov person	verb	to talk to somebody
ovov subject ù person	verb	to say something to somebody, to talk to somebody about something
ovovo	noun	eye
ŏvovo	noun	excess, surplus	adjective	excessive	adverb	excessively
ôvovo	noun	circle, wheel	adjective	round	adverb	round, in a circle
övovo	noun	cart, car, vehicle
övovo óvowu	noun	plane, helicopter, flying vehicle
övovo ũwò	noun	boat, ship, swimming vehicle
ovow	noun	event, incident
ôvöw	noun	question	adjective	unsure
òvow	adverb	again, another time, back	adjective	repeated
òvöw	noun	snow	adjective	snowy
ŏvow	noun	amount, number, digit, letter
ovowo	noun	edge, corner, angle
òvowo	noun	alcoholic drink
ŏvowo	adjective	collective, cooperative	adverb	together, collectively, cooperatively
ôvowo	noun	snake
òvowov	verb	to fail, to miss [fail to hit or attend]
ovowu	noun	cause, reason, motive
ovowü	noun	ear
ovowũ	noun	point, dot, spot, full stop, period
óvowu	noun	sky, air, wind
övòwu	noun	shirt
õvowu	noun	buttocks, rear, butt
övöwu	noun	paper, page, note, letter
övöwu ovow	noun	newspaper
ovowuv	verb	to cause, to make something happen, to make somebody do something
ovü	noun	beginning, start
òvu	noun	obligation
òvü	noun	dress
ôvü	noun	animal	adjective	wild
övu	noun	plant
övù	noun	interruption, break
